階層,人数,業種,年,総額
"2,000万円以下",40539,宿泊業，飲食サービス業,2017,2449
"2,500万円以下",16605,宿泊業，飲食サービス業,2017,743
"2,500万円超",74303,宿泊業，飲食サービス業,2017,1391
100万円以下,454665,宿泊業，飲食サービス業,2016,590758
200万円以下,701704,宿泊業，飲食サービス業,2016,502774
300万円以下,837519,宿泊業，飲食サービス業,2016,335154
400万円以下,821597,宿泊業，飲食サービス業,2016,237123
500万円以下,674032,宿泊業，飲食サービス業,2016,151434
600万円以下,425388,宿泊業，飲食サービス業,2016,78049
700万円以下,178184,宿泊業，飲食サービス業,2016,27772
800万円以下,122078,宿泊業，飲食サービス業,2016,16535
900万円以下,85279,宿泊業，飲食サービス業,2016,10085
"1,000万円以下",91199,宿泊業，飲食サービス業,2016,9619
"1,500万円以下",87603,宿泊業，飲食サービス業,2016,7427
"2,000万円以下",40919,宿泊業，飲食サービス業,2016,2354
"2,500万円以下",34094,宿泊業，飲食サービス業,2016,1540
"2,500万円超",30293,宿泊業，飲食サービス業,2016,755
100万円以下,458483,宿泊業，飲食サービス業,2015,589254
200万円以下,752574,宿泊業，飲食サービス業,2015,544789
300万円以下,790301,宿泊業，飲食サービス業,2015,319919
400万円以下,913753,宿泊業，飲食サービス業,2015,262142
500万円以下,712495,宿泊業，飲食サービス業,2015,159463
600万円以下,410748,宿泊業，飲食サービス業,2015,75415
700万円以下,228195,宿泊業，飲食サービス業,2015,35392
800万円以下,130838,宿泊業，飲食サービス業,2015,17593
900万円以下,90899,宿泊業，飲食サービス業,2015,10632
"1,000万円以下",50447,宿泊業，飲食サービス業,2015,5389
"1,500万円以下",122486,宿泊業，飲食サービス業,2015,10227
"2,000万円以下",35600,宿泊業，飲食サービス業,2015,2030
"2,500万円以下",22109,宿泊業，飲食サービス業,2015,973
"2,500万円超",43032,宿泊業，飲食サービス業,2015,948
100万円以下,463398,宿泊業，飲食サービス業,2014,598449
200万円以下,711686,宿泊業，飲食サービス業,2014,511023
300万円以下,848219,宿泊業，飲食サービス業,2014,342857
400万円以下,899863,宿泊業，飲食サービス業,2014,258304
500万円以下,722229,宿泊業，飲食サービス業,2014,161629
600万円以下,452843,宿泊業，飲食サービス業,2014,82685
700万円以下,213858,宿泊業，飲食サービス業,2014,33058
800万円以下,145331,宿泊業，飲食サービス業,2014,19463
900万円以下,52186,宿泊業，飲食サービス業,2014,6145
"1,000万円以下",64426,宿泊業，飲食サービス業,2014,6803
"1,500万円以下",108151,宿泊業，飲食サービス業,2014,9241
"2,000万円以下",62554,宿泊業，飲食サービス業,2014,3442
"2,500万円以下",13420,宿泊業，飲食サービス業,2014,612
"2,500万円超",43967,宿泊業，飲食サービス業,2014,1242
100万円以下,26675,金融業，保険業,2023,31789
200万円以下,128390,金融業，保険業,2023,88896
300万円以下,304310,金融業，保険業,2023,120500
400万円以下,589438,金融業，保険業,2023,167037
500万円以下,940217,金融業，保険業,2023,208434
600万円以下,930791,金融業，保険業,2023,169804
700万円以下,849191,金融業，保険業,2023,130867
800万円以下,690956,金融業，保険業,2023,92704
900万円以下,631486,金融業，保険業,2023,74481
"1,000万円以下",611363,金融業，保険業,2023,64333
"1,500万円以下",2053012,金融業，保険業,2023,171859
"2,000万円以下",682430,金融業，保険業,2023,39939
"2,500万円以下",184015,金融業，保険業,2023,8319
"2,500万円超",360750,金融業，保険業,2023,8793
100万円以下,32152,金融業，保険業,2022,38533
200万円以下,136840,金融業，保険業,2022,96384
300万円以下,286307,金融業，保険業,2022,113433
400万円以下,572198,金融業，保険業,2022,160460
500万円以下,878147,金融業，保険業,2022,195641
600万円以下,915656,金融業，保険業,2022,166877
700万円以下,781954,金融業，保険業,2022,120723
800万円以下,654586,金融業，保険業,2022,87633
900万円以下,609356,金融業，保険業,2022,71584
"1,000万円以下",704436,金融業，保険業,2022,74223
"1,500万円以下",2144611,金融業，保険業,2022,180588
"2,000万円以下",649752,金融業，保険業,2022,38524
"2,500万円以下",193014,金融業，保険業,2022,8762
"2,500万円超",370465,金融業，保険業,2022,8501
100万円以下,30809,金融業，保険業,2021,35621
200万円以下,111184,金融業，保険業,2021,79326
300万円以下,294517,金融業，保険業,2021,116364
400万円以下,524921,金融業，保険業,2021,148722
500万円以下,875947,金融業，保険業,2021,195181
600万円以下,915965,金融業，保険業,2021,167128
700万円以下,803684,金融業，保険業,2021,124147
800万円以下,799838,金融業，保険業,2021,106808
900万円以下,584949,金融業，保険業,2021,68779
"1,000万円以下",647315,金融業，保険業,2021,68132
"1,500万円以下",2188430,金融業，保険業,2021,183132
"2,000万円以下",846429,金融業，保険業,2021,49258
"2,500万円以下",204622,金融業，保険業,2021,9346
"2,500万円超",448418,金融業，保険業,2021,10293
100万円以下,39918,金融業，保険業,2020,48056
200万円以下,156059,金融業，保険業,2020,107072
300万円以下,348926,金融業，保険業,2020,137954
400万円以下,677565,金融業，保険業,2020,192260
500万円以下,864336,金融業，保険業,2020,192698
600万円以下,881386,金融業，保険業,2020,161769
700万円以下,917836,金融業，保険業,2020,141399
800万円以下,736943,金融業，保険業,2020,98782
900万円以下,709114,金融業，保険業,2020,83512
"1,000万円以下",646457,金融業，保険業,2020,68035
"1,500万円以下",2005943,金融業，保険業,2020,166981
"2,000万円以下",666242,金融業，保険業,2020,38789
"2,500万円以下",144070,金融業，保険業,2020,6563
"2,500万円超",436055,金融業，保険業,2020,9244
100万円以下,45301,金融業，保険業,2019,52503
200万円以下,157075,金融業，保険業,2019,109924
300万円以下,368203,金融業，保険業,2019,145494
400万円以下,693587,金融業，保険業,2019,196741
500万円以下,1031381,金融業，保険業,2019,229748
600万円以下,902230,金融業，保険業,2019,164451
700万円以下,895347,金融業，保険業,2019,138790
800万円以下,816364,金融業，保険業,2019,108741
900万円以下,767727,金融業，保険業,2019,90348
"1,000万円以下",680368,金融業，保険業,2019,71739
"1,500万円以下",2319951,金融業，保険業,2019,195474
"2,000万円以下",809602,金融業，保険業,2019,47076
"2,500万円以下",132921,金融業，保険業,2019,6072
"2,500万円超",319532,金融業，保険業,2019,7226
100万円以下,45204,金融業，保険業,2018,52794
200万円以下,160424,金融業，保険業,2018,109395
300万円以下,330885,金融業，保険業,2018,131181
400万円以下,654248,金融業，保険業,2018,186026
500万円以下,941600,金融業，保険業,2018,209087
600万円以下,946403,金融業，保険業,2018,172485
700万円以下,846057,金融業，保険業,2018,130880
800万円以下,721343,金融業，保険業,2018,96492
900万円以下,700857,金融業，保険業,2018,82745
"1,000万円以下",627512,金融業，保険業,2018,66294
"1,500万円以下",1963159,金融業，保険業,2018,163890
"2,000万円以下",689515,金融業，保険業,2018,40727
"2,500万円以下",134372,金融業，保険業,2018,6143
"2,500万円超",306036,金融業，保険業,2018,6707
100万円以下,42536,金融業，保険業,2017,49141
200万円以下,157967,金融業，保険業,2017,108303
300万円以下,331237,金融業，保険業,2017,131245
400万円以下,619788,金融業，保険業,2017,175071
500万円以下,918639,金融業，保険業,2017,204857
600万円以下,872804,金融業，保険業,2017,159327
700万円以下,722714,金融業，保険業,2017,111464
800万円以下,724814,金融業，保険業,2017,97007
900万円以下,650964,金融業，保険業,2017,76673
"1,000万円以下",605109,金融業，保険業,2017,63718
"1,500万円以下",1954286,金融業，保険業,2017,162342
"2,000万円以下",642911,金融業，保険業,2017,37835
"2,500万円以下",152920,金融業，保険業,2017,6990
"2,500万円超",303455,金融業，保険業,2017,7370
100万円以下,38350,金融業，保険業,2016,44058
200万円以下,149178,金融業，保険業,2016,106947
300万円以下,298539,金融業，保険業,2016,119104
400万円以下,597477,金融業，保険業,2016,168257
500万円以下,832202,金融業，保険業,2016,185652
600万円以下,861211,金融業，保険業,2016,157119
700万円以下,755888,金融業，保険業,2016,116382
800万円以下,743448,金融業，保険業,2016,99355
900万円以下,741424,金融業，保険業,2016,87566
"1,000万円以下",650934,金融業，保険業,2016,68491
"1,500万円以下",1939410,金融業，保険業,2016,161317
"2,000万円以下",641810,金融業，保険業,2016,37879
"2,500万円以下",144509,金融業，保険業,2016,6579
"2,500万円超",295404,金融業，保険業,2016,6317
100万円以下,45987,金融業，保険業,2015,54148
200万円以下,140854,金融業，保険業,2015,99686
300万円以下,290195,金融業，保険業,2015,116130
400万円以下,541757,金融業，保険業,2015,153021
500万円以下,823953,金融業，保険業,2015,184233
600万円以下,770869,金融業，保険業,2015,140627
700万円以下,686347,金融業，保険業,2015,105888
800万円以下,664294,金融業，保険業,2015,89032
900万円以下,653620,金融業，保険業,2015,76747
"1,000万円以下",616997,金融業，保険業,2015,64924
"1,500万円以下",2059190,金融業，保険業,2015,171616
"2,000万円以下",706525,金融業，保険業,2015,41549
"2,500万円以下",178265,金融業，保険業,2015,8109
"2,500万円超",326652,金融業，保険業,2015,7910
100万円以下,47853,金融業，保険業,2014,54531
200万円以下,136164,金融業，保険業,2014,95602
300万円以下,322475,金融業，保険業,2014,128437
400万円以下,587921,金融業，保険業,2014,166260
500万円以下,777613,金融業，保険業,2014,173129
600万円以下,822935,金融業，保険業,2014,149874
700万円以下,736358,金融業，保険業,2014,113775
800万円以下,642093,金融業，保険業,2014,85617
900万円以下,622642,金融業，保険業,2014,73489
"1,000万円以下",547168,金融業，保険業,2014,57627
"1,500万円以下",1931166,金融業，保険業,2014,160202
"2,000万円以下",601946,金融業，保険業,2014,35832
"2,500万円以下",148243,金融業，保険業,2014,6747
"2,500万円超",236101,金融業，保険業,2014,5403
100万円以下,107916,不動産業，物品賃貸業,2023,139322
200万円以下,269955,不動産業，物品賃貸業,2023,187417
300万円以下,457875,不動産業，物品賃貸業,2023,181657
400万円以下,502103,不動産業，物品賃貸業,2023,143572
500万円以下,676946,不動産業，物品賃貸業,2023,150471
600万円以下,548962,不動産業，物品賃貸業,2023,99456
700万円以下,410775,不動産業，物品賃貸業,2023,63442
800万円以下,422280,不動産業，物品賃貸業,2023,56626
900万円以下,298366,不動産業，物品賃貸業,2023,34931
"1,000万円以下",246271,不動産業，物品賃貸業,2023,25956
"1,500万円以下",731782,不動産業，物品賃貸業,2023,61759
"2,000万円以下",241497,不動産業，物品賃貸業,2023,14068
"2,500万円以下",150963,不動産業，物品賃貸業,2023,6759
"2,500万円超",449124,不動産業，物品賃貸業,2023,11451
100万円以下,104962,不動産業，物品賃貸業,2022,136637
200万円以下,305872,不動産業，物品賃貸業,2022,210357
300万円以下,496368,不動産業，物品賃貸業,2022,195646
400万円以下,560994,不動産業，物品賃貸業,2022,159314
500万円以下,652881,不動産業，物品賃貸業,2022,146639
600万円以下,645755,不動産業，物品賃貸業,2022,116461
700万円以下,455506,不動産業，物品賃貸業,2022,70282
800万円以下,391976,不動産業，物品賃貸業,2022,52587
900万円以下,297319,不動産業，物品賃貸業,2022,35225
"1,000万円以下",244418,不動産業，物品賃貸業,2022,25767
"1,500万円以下",672406,不動産業，物品賃貸業,2022,56238
"2,000万円以下",301243,不動産業，物品賃貸業,2022,17597
"2,500万円以下",161659,不動産業，物品賃貸業,2022,7455
"2,500万円超",365428,不動産業，物品賃貸業,2022,7755
100万円以下,109605,不動産業，物品賃貸業,2021,143810
200万円以下,306196,不動産業，物品賃貸業,2021,209698
300万円以下,469761,不動産業，物品賃貸業,2021,187695
400万円以下,629087,不動産業，物品賃貸業,2021,177874
500万円以下,621840,不動産業，物品賃貸業,2021,138271
600万円以下,634448,不動産業，物品賃貸業,2021,113860
700万円以下,377304,不動産業，物品賃貸業,2021,58194
800万円以下,328842,不動産業，物品賃貸業,2021,44334
900万円以下,273398,不動産業，物品賃貸業,2021,32210
"1,000万円以下",210979,不動産業，物品賃貸業,2021,22120
"1,500万円以下",562416,不動産業，物品賃貸業,2021,46055
"2,000万円以下",217551,不動産業，物品賃貸業,2021,12328
"2,500万円以下",101494,不動産業，物品賃貸業,2021,4600
"2,500万円超",263899,不動産業，物品賃貸業,2021,6172
100万円以下,115434,不動産業，物品賃貸業,2020,153366
200万円以下,315470,不動産業，物品賃貸業,2020,218932
300万円以下,498094,不動産業，物品賃貸業,2020,197063
400万円以下,520020,不動産業，物品賃貸業,2020,147738
500万円以下,599156,不動産業，物品賃貸業,2020,133110
600万円以下,576349,不動産業，物品賃貸業,2020,103429
700万円以下,414490,不動産業，物品賃貸業,2020,64101
800万円以下,351656,不動産業，物品賃貸業,2020,47048
900万円以下,243122,不動産業，物品賃貸業,2020,28590
"1,000万円以下",260824,不動産業，物品賃貸業,2020,27434
"1,500万円以下",586703,不動産業，物品賃貸業,2020,48961
"2,000万円以下",251257,不動産業，物品賃貸業,2020,14354
"2,500万円以下",96144,不動産業，物品賃貸業,2020,4255
"2,500万円超",206692,不動産業，物品賃貸業,2020,5335
100万円以下,121244,不動産業，物品賃貸業,2019,158424
200万円以下,327730,不動産業，物品賃貸業,2019,224902
300万円以下,470179,不動産業，物品賃貸業,2019,184239
400万円以下,580661,不動産業，物品賃貸業,2019,164895
500万円以下,548572,不動産業，物品賃貸業,2019,122280
600万円以下,504340,不動産業，物品賃貸業,2019,91253
700万円以下,342876,不動産業，物品賃貸業,2019,52890
800万円以下,448159,不動産業，物品賃貸業,2019,60199
900万円以下,309479,不動産業，物品賃貸業,2019,36733
"1,000万円以下",253200,不動産業，物品賃貸業,2019,26796
"1,500万円以下",584537,不動産業，物品賃貸業,2019,49069
"2,000万円以下",170091,不動産業，物品賃貸業,2019,10154
"2,500万円以下",88886,不動産業，物品賃貸業,2019,4013
"2,500万円超",306392,不動産業，物品賃貸業,2019,6197
100万円以下,109587,不動産業，物品賃貸業,2018,141806
200万円以下,317613,不動産業，物品賃貸業,2018,217311
300万円以下,470669,不動産業，物品賃貸業,2018,185765
400万円以下,564556,不動産業，物品賃貸業,2018,161551
500万円以下,694774,不動産業，物品賃貸業,2018,154947
600万円以下,564129,不動産業，物品賃貸業,2018,101568
700万円以下,410386,不動産業，物品賃貸業,2018,63429
800万円以下,392230,不動産業，物品賃貸業,2018,52756
900万円以下,256412,不動産業，物品賃貸業,2018,30288
"1,000万円以下",231741,不動産業，物品賃貸業,2018,24348
"1,500万円以下",568972,不動産業，物品賃貸業,2018,47885
"2,000万円以下",308885,不動産業，物品賃貸業,2018,17781
"2,500万円以下",155361,不動産業，物品賃貸業,2018,7057
"2,500万円超",240497,不動産業，物品賃貸業,2018,6131
100万円以下,111219,不動産業，物品賃貸業,2017,141599
200万円以下,282556,不動産業，物品賃貸業,2017,200137
300万円以下,463060,不動産業，物品賃貸業,2017,180513
400万円以下,541042,不動産業，物品賃貸業,2017,153072
500万円以下,615367,不動産業，物品賃貸業,2017,137044
600万円以下,529638,不動産業，物品賃貸業,2017,96390
700万円以下,359550,不動産業，物品賃貸業,2017,55333
800万円以下,403433,不動産業，物品賃貸業,2017,54122
900万円以下,273689,不動産業，物品賃貸業,2017,32183
"1,000万円以下",263723,不動産業，物品賃貸業,2017,27608
"1,500万円以下",615975,不動産業，物品賃貸業,2017,51427
"2,000万円以下",136553,不動産業，物品賃貸業,2017,8061
"2,500万円以下",116724,不動産業，物品賃貸業,2017,5328
"2,500万円超",174674,不動産業，物品賃貸業,2017,4513
100万円以下,81009,不動産業，物品賃貸業,2016,103069
200万円以下,261159,不動産業，物品賃貸業,2016,181363
300万円以下,414355,不動産業，物品賃貸業,2016,164131
400万円以下,526577,不動産業，物品賃貸業,2016,149226
500万円以下,584821,不動産業，物品賃貸業,2016,129766
600万円以下,540181,不動産業，物品賃貸業,2016,97360
700万円以下,376316,不動産業，物品賃貸業,2016,57892
800万円以下,387304,不動産業，物品賃貸業,2016,51632
900万円以下,236482,不動産業，物品賃貸業,2016,27971
"1,000万円以下",279553,不動産業，物品賃貸業,2016,29431
"1,500万円以下",599712,不動産業，物品賃貸業,2016,51106
"2,000万円以下",176180,不動産業，物品賃貸業,2016,9996
"2,500万円以下",78548,不動産業，物品賃貸業,2016,3463
"2,500万円超",147903,不動産業，物品賃貸業,2016,3382
100万円以下,90680,不動産業，物品賃貸業,2015,117363
200万円以下,294148,不動産業，物品賃貸業,2015,205789
300万円以下,390099,不動産業，物品賃貸業,2015,154416
400万円以下,461204,不動産業，物品賃貸業,2015,130096
500万円以下,528260,不動産業，物品賃貸業,2015,117390
600万円以下,498937,不動産業，物品賃貸業,2015,90056
700万円以下,331128,不動産業，物品賃貸業,2015,50975
800万円以下,306534,不動産業，物品賃貸業,2015,41201
900万円以下,204271,不動産業，物品賃貸業,2015,24222
"1,000万円以下",206895,不動産業，物品賃貸業,2015,21796
"1,500万円以下",496962,不動産業，物品賃貸業,2015,41801
"2,000万円以下",199293,不動産業，物品賃貸業,2015,11590
"2,500万円以下",103591,不動産業，物品賃貸業,2015,4612
"2,500万円超",227730,不動産業，物品賃貸業,2015,5023
100万円以下,102490,不動産業，物品賃貸業,2014,133226
200万円以下,293690,不動産業，物品賃貸業,2014,202951
300万円以下,389688,不動産業，物品賃貸業,2014,153786
400万円以下,492829,不動産業，物品賃貸業,2014,140006
500万円以下,504514,不動産業，物品賃貸業,2014,111738
600万円以下,506762,不動産業，物品賃貸業,2014,91861
700万円以下,374648,不動産業，物品賃貸業,2014,57620
800万円以下,375778,不動産業，物品賃貸業,2014,50618
900万円以下,276683,不動産業，物品賃貸業,2014,32702
"1,000万円以下",228604,不動産業，物品賃貸業,2014,24123
"1,500万円以下",553669,不動産業，物品賃貸業,2014,46512
"2,000万円以下",200635,不動産業，物品賃貸業,2014,11571
"2,500万円以下",86234,不動産業，物品賃貸業,2014,3821
"2,500万円超",144133,不動産業，物品賃貸業,2014,3136
100万円以下,96819,運輸業，郵便業,2023,118670
200万円以下,333581,運輸業，郵便業,2023,226305
300万円以下,922017,運輸業，郵便業,2023,363942
400万円以下,2217478,運輸業，郵便業,2023,626231
500万円以下,3111894,運輸業，郵便業,2023,693476
600万円以下,2583174,運輸業，郵便業,2023,473055
700万円以下,1577286,運輸業，郵便業,2023,244800
800万円以下,1235611,運輸業，郵便業,2023,164799
900万円以下,686076,運輸業，郵便業,2023,81263
"1,000万円以下",613188,運輸業，郵便業,2023,65276
"1,500万円以下",1065233,運輸業，郵便業,2023,90297
"2,000万円以下",300996,運輸業，郵便業,2023,17693
"2,500万円以下",92097,運輸業，郵便業,2023,4154
"2,500万円超",182998,運輸業，郵便業,2023,5334
100万円以下,96953,運輸業，郵便業,2022,120763
200万円以下,370209,運輸業，郵便業,2022,253413
300万円以下,999991,運輸業，郵便業,2022,392731
400万円以下,2319313,運輸業，郵便業,2022,657427
500万円以下,2910835,運輸業，郵便業,2022,651147
600万円以下,2265943,運輸業，郵便業,2022,415153
700万円以下,1496686,運輸業，郵便業,2022,231650
800万円以下,1250233,運輸業，郵便業,2022,166651
900万円以下,1038864,運輸業，郵便業,2022,122996
"1,000万円以下",718513,運輸業，郵便業,2022,76263
"1,500万円以下",1410820,運輸業，郵便業,2022,121013
"2,000万円以下",268737,運輸業，郵便業,2022,15336
"2,500万円以下",86002,運輸業，郵便業,2022,3873
"2,500万円超",198678,運輸業，郵便業,2022,6133
100万円以下,138989,運輸業，郵便業,2021,168915
200万円以下,455600,運輸業，郵便業,2021,318022
300万円以下,1171090,運輸業，郵便業,2021,459048
400万円以下,2477239,運輸業，郵便業,2021,707231
500万円以下,3010536,運輸業，郵便業,2021,673668
600万円以下,2423329,運輸業，郵便業,2021,443257
700万円以下,1599558,運輸業，郵便業,2021,247634
800万円以下,985204,運輸業，郵便業,2021,131878
900万円以下,594334,運輸業，郵便業,2021,69948
"1,000万円以下",343820,運輸業，郵便業,2021,36042
"1,500万円以下",672532,運輸業，郵便業,2021,57746
"2,000万円以下",180375,運輸業，郵便業,2021,10348
"2,500万円以下",90420,運輸業，郵便業,2021,4031
"2,500万円超",143007,運輸業，郵便業,2021,4215
100万円以下,135618,運輸業，郵便業,2020,167170
200万円以下,481961,運輸業，郵便業,2020,326044
300万円以下,1085733,運輸業，郵便業,2020,426546
400万円以下,2465647,運輸業，郵便業,2020,699479
500万円以下,2842387,運輸業，郵便業,2020,635644
600万円以下,2420691,運輸業，郵便業,2020,443328
700万円以下,2041829,運輸業，郵便業,2020,317172
800万円以下,2166553,運輸業，郵便業,2020,291717
900万円以下,825026,運輸業，郵便業,2020,97003
"1,000万円以下",531921,運輸業，郵便業,2020,56121
"1,500万円以下",778196,運輸業，郵便業,2020,67430
"2,000万円以下",215375,運輸業，郵便業,2020,12657
"2,500万円以下",80674,運輸業，郵便業,2020,3673
"2,500万円超",164196,運輸業，郵便業,2020,4910
100万円以下,133320,運輸業，郵便業,2019,167218
200万円以下,500817,運輸業，郵便業,2019,339390
300万円以下,1163883,運輸業，郵便業,2019,457016
400万円以下,2593955,運輸業，郵便業,2019,737874
500万円以下,2704282,運輸業，郵便業,2019,604262
600万円以下,2215333,運輸業，郵便業,2019,404712
700万円以下,1632543,運輸業，郵便業,2019,252486
800万円以下,1013530,運輸業，郵便業,2019,135583
900万円以下,727066,運輸業，郵便業,2019,86139
"1,000万円以下",485599,運輸業，郵便業,2019,51378
"1,500万円以下",1058032,運輸業，郵便業,2019,90842
"2,000万円以下",176143,運輸業，郵便業,2019,10409
"2,500万円以下",61810,運輸業，郵便業,2019,2791
"2,500万円超",207758,運輸業，郵便業,2019,5951
100万円以下,124285,運輸業，郵便業,2018,154894
200万円以下,478485,運輸業，郵便業,2018,325131
300万円以下,1128507,運輸業，郵便業,2018,443309
400万円以下,2410861,運輸業，郵便業,2018,684464
500万円以下,3052455,運輸業，郵便業,2018,681023
600万円以下,2299093,運輸業，郵便業,2018,421304
700万円以下,1603936,運輸業，郵便業,2018,248189
800万円以下,1196868,運輸業，郵便業,2018,160151
900万円以下,905004,運輸業，郵便業,2018,107229
"1,000万円以下",596750,運輸業，郵便業,2018,63133
"1,500万円以下",886369,運輸業，郵便業,2018,76773
"2,000万円以下",196450,運輸業，郵便業,2018,11514
"2,500万円以下",69383,運輸業，郵便業,2018,3078
"2,500万円超",152185,運輸業，郵便業,2018,4309
100万円以下,89304,運輸業，郵便業,2017,107527
200万円以下,370091,運輸業，郵便業,2017,247158
300万円以下,1092143,運輸業，郵便業,2017,426593
400万円以下,2520467,運輸業，郵便業,2017,715977
500万円以下,2726667,運輸業，郵便業,2017,609814
600万円以下,2003012,運輸業，郵便業,2017,367607
700万円以下,1148244,運輸業，郵便業,2017,178096
800万円以下,746464,運輸業，郵便業,2017,100465
900万円以下,507332,運輸業，郵便業,2017,59979
"1,000万円以下",373391,運輸業，郵便業,2017,39316
"1,500万円以下",738464,運輸業，郵便業,2017,62925
"2,000万円以下",175823,運輸業，郵便業,2017,10182
"2,500万円以下",61747,運輸業，郵便業,2017,2760
"2,500万円超",182842,運輸業，郵便業,2017,5479
100万円以下,95415,運輸業，郵便業,2016,118705
200万円以下,404653,運輸業，郵便業,2016,266629
300万円以下,1102126,運輸業，郵便業,2016,430521
400万円以下,2195217,運輸業，郵便業,2016,625889
500万円以下,2486365,運輸業，郵便業,2016,555671
600万円以下,1677347,運輸業，郵便業,2016,307757
700万円以下,1058966,運輸業，郵便業,2016,163847
800万円以下,837602,運輸業，郵便業,2016,112384
900万円以下,532750,運輸業，郵便業,2016,63119
"1,000万円以下",384254,運輸業，郵便業,2016,40460
"1,500万円以下",627608,運輸業，郵便業,2016,53408
"2,000万円以下",196856,運輸業，郵便業,2016,11372
"2,500万円以下",32251,運輸業，郵便業,2016,1438
"2,500万円超",119953,運輸業，郵便業,2016,3521
100万円以下,96893,運輸業，郵便業,2015,119600
200万円以下,411516,運輸業，郵便業,2015,275161
300万円以下,1184854,運輸業，郵便業,2015,466508
400万円以下,2330897,運輸業，郵便業,2015,663163
500万円以下,2411078,運輸業，郵便業,2015,538973
600万円以下,1879403,運輸業，郵便業,2015,344721
700万円以下,1073464,運輸業，郵便業,2015,166392
800万円以下,672083,運輸業，郵便業,2015,89949
900万円以下,509515,運輸業，郵便業,2015,60268
"1,000万円以下",359168,運輸業，郵便業,2015,37926
"1,500万円以下",696620,運輸業，郵便業,2015,59499
"2,000万円以下",208215,運輸業，郵便業,2015,12332
"2,500万円以下",44349,運輸業，郵便業,2015,1986
"2,500万円超",113000,運輸業，郵便業,2015,3192
100万円以下,94065,運輸業，郵便業,2014,118429
200万円以下,428045,運輸業，郵便業,2014,286110
300万円以下,1270074,運輸業，郵便業,2014,497112
400万円以下,2277071,運輸業，郵便業,2014,649643
500万円以下,2310675,運輸業，郵便業,2014,516701
600万円以下,1589490,運輸業，郵便業,2014,291242
700万円以下,1016483,運輸業，郵便業,2014,157136
800万円以下,820960,運輸業，郵便業,2014,110235
900万円以下,538641,運輸業，郵便業,2014,63513
"1,000万円以下",409855,運輸業，郵便業,2014,43450
"1,500万円以下",797078,運輸業，郵便業,2014,68092
"2,000万円以下",129400,運輸業，郵便業,2014,7746
"2,500万円以下",112169,運輸業，郵便業,2014,5157
"2,500万円超",91637,運輸業，郵便業,2014,2791
100万円以下,716,電気･ガス･熱供給・水道業,2023,859
200万円以下,3399,電気･ガス･熱供給・水道業,2023,2344
300万円以下,13361,電気･ガス･熱供給・水道業,2023,5071
400万円以下,30187,電気･ガス･熱供給・水道業,2023,8669
500万円以下,81030,電気･ガス･熱供給・水道業,2023,17838
600万円以下,131526,電気･ガス･熱供給・水道業,2023,23740
700万円以下,145872,電気･ガス･熱供給・水道業,2023,22779
800万円以下,129389,電気･ガス･熱供給・水道業,2023,17245
900万円以下,117797,電気･ガス･熱供給・水道業,2023,13963
"1,000万円以下",132271,電気･ガス･熱供給・水道業,2023,13895
"1,500万円以下",417105,電気･ガス･熱供給・水道業,2023,35813
"2,000万円以下",73144,電気･ガス･熱供給・水道業,2023,4428
"2,500万円以下",7315,電気･ガス･熱供給・水道業,2023,337
"2,500万円超",13604,電気･ガス･熱供給・水道業,2023,361
100万円以下,1418,電気･ガス･熱供給・水道業,2022,1701
200万円以下,12820,電気･ガス･熱供給・水道業,2022,9097
300万円以下,4455,電気･ガス･熱供給・水道業,2022,1955
400万円以下,34293,電気･ガス･熱供給・水道業,2022,9590
500万円以下,75282,電気･ガス･熱供給・水道業,2022,16722
600万円以下,91785,電気･ガス･熱供給・水道業,2022,16826
700万円以下,197900,電気･ガス･熱供給・水道業,2022,30672
800万円以下,132693,電気･ガス･熱供給・水道業,2022,17671
900万円以下,259105,電気･ガス･熱供給・水道業,2022,30702
"1,000万円以下",133367,電気･ガス･熱供給・水道業,2022,14087
